Date	Time	System Setting	System Mode	Calendar Event	Program Mode	Cool Set Temp (C)	Heat Set Temp (C)	Current Temp (C)	Current Humidity (%RH)	Outdoor Temp (C)	Wind Speed (km/h)	Cool Stage 1 (sec)	Cool Stage 2 (sec)	Heat Stage 1 (sec)	Heat Stage 2 (sec)	Aux Heat 1 (sec)	Aux Heat 2 (sec)	Fan (sec)	DM Offset	Thermostat Temperature (C)	Thermostat Humidity (%RH)	Thermostat Motion	Living Room (C)	Living Room Motion	Bedroom (C)	Bedroom Motion	Downstairs (C)	Downstairs Motion
2016-02-07	"00:00:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.6	60	3.8	0	0	0	0	0	0	0	105		20.4	60	0	19.2	0	19.1	0	20.6	0
2016-02-07	"00:05:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.5	60	3.8	0	0	0	0	0	0	0	300		20.3	60	0	19.1	0	19.1	0	20.5	0
2016-02-07	"00:10:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.4	60	3.8	0	0	0	0	0	0	0	270		20.3	60	0	19.1	0	18.9	0	20.4	0
2016-02-07	"00:15:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.4	60	3.8	0	0	0	0	0	0	0	105		20.3	60	0	19.1	0	18.9	0	20.4	0
2016-02-07	"00:20:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.4	60	3.8	0	0	0	0	0	0	0	300		20.3	60	0	18.9	0	18.9	0	20.4	0
2016-02-07	"00:25:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.4	60	3.8	0	0	0	0	0	0	0	270		20.3	60	0	18.9	0	18.9	0	20.4	0
2016-02-07	"00:30:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.4	60	3.5	0	0	0	0	0	0	0	105		20.2	60	0	18.9	0	18.9	0	20.4	0
2016-02-07	"00:35:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.5	0	0	0	0	0	0	0	300		20.2	60	0	18.8	0	18.8	0	20.3	0
2016-02-07	"00:40:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.5	0	0	0	0	0	0	0	270		20.2	60	0	18.8	0	18.8	0	20.3	0
2016-02-07	"00:45:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.5	0	0	0	0	0	0	0	105		20.1	60	0	18.8	0	18.8	0	20.3	0
2016-02-07	"00:50:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.5	0	0	0	0	0	0	0	300		20.1	60	0	18.8	0	18.8	0	20.3	0
2016-02-07	"00:55:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.5	0	0	0	0	0	0	0	270		20.1	60	0	18.8	0	18.8	0	20.3	0
2016-02-07	"01:00:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.6	0	0	0	0	0	0	0	105		20.1	60	0	18.8	0	18.8	0	20.3	0
2016-02-07	"01:05:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.3	60	3.6	0	0	0	0	0	0	0	300		20.1	60	0	18.8	0	18.8	1	20.3	0
2016-02-07	"01:10:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.2	60	3.6	0	0	0	0	0	0	0	270		20.1	60	0	18.7	0	18.8	1	20.3	0
2016-02-07	"01:15:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.2	60	3.6	0	0	0	0	0	0	0	105		20	60	0	18.7	0	18.8	0	20.3	0
2016-02-07	"01:20:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.2	60	3.6	0	0	0	0	0	0	0	300		19.9	60	0	18.7	0	18.8	0	20.3	0
2016-02-07	"01:25:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.2	60	3.6	0	0	0	0	0	0	0	270		19.9	60	0	18.6	0	18.7	0	20.2	0
2016-02-07	"01:30:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.1	60	3.9	1	0	0	0	0	0	0	105		19.9	60	0	18.6	0	18.7	0	20.2	0
2016-02-07	"01:35:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.1	60	3.9	1	0	0	0	0	0	0	300		19.9	60	0	18.6	0	18.7	1	20.2	0
2016-02-07	"01:40:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.1	60	3.9	1	0	0	0	0	0	0	270		19.9	60	0	18.6	0	18.7	1	20.2	0
2016-02-07	"01:45:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.1	60	3.9	1	0	0	0	0	0	0	105		19.8	60	0	18.6	0	18.6	0	20.2	0
2016-02-07	"01:50:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.1	60	3.9	1	0	0	0	0	0	0	300		19.8	60	0	18.4	0	18.6	0	20.2	0
2016-02-07	"01:55:00"	"auto"	"heatOff"	""	"Sleep"	27	19	19.1	60	3.9	1	0	0	0	0	0	0	270		19.8	60	0	18.4	0	18.6	0	20.2	0
2016-02-07	"02:00:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	105		19.8	60	0	18.3	0	18.6	1	20.1	0
2016-02-07	"02:05:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	300		19.7	60	0	18.3	0	18.6	1	20.1	0
2016-02-07	"02:10:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	270		19.8	60	0	18.3	0	18.6	0	20.1	0
2016-02-07	"02:15:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	105		19.7	60	0	18.3	0	18.6	0	20.1	0
2016-02-07	"02:20:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	300		19.7	60	0	18.3	0	18.6	0	20.1	0
2016-02-07	"02:25:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	270		19.7	60	0	18.3	0	18.6	0	19.9	0
2016-02-07	"02:30:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	105		19.6	60	0	18.3	0	18.5	0	19.9	0
2016-02-07	"02:35:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.9	60	3.8	1	0	0	0	0	0	0	300		19.6	60	0	18.3	0	18.5	1	19.9	0
2016-02-07	"02:40:00"	"auto"	"heatOff"	""	"Sleep"	27	19	18.8	60	3.8	1	0	0	0	0	0	0	270		19.6	60	0	18.2	0	18.4	1	19.9	0
